"","X_km","Y_km","Conc"
"418",497.61,5443.27,17
"419",497.71,5443.874,56
"420",497.76,5443.674,46
"421",497.76,5443.774,49
"422",497.876,5442.974,8
"423",497.829,5442.937,12
"424",497.41,5442.991,25
"425",497.76,5443.824,52
"426",497.71,5443.524,39
"427",496.81,5442.874,83
"428",497.06,5442.824,47
"429",496.018,5442.999,13
"430",497.845,5442.95,10
"431",497.91,5442.974,9
"432",497.86,5442.962,9
"433",497.76,5443.624,37
"434",497.71,5443.474,37
"435",496.265,5443.724,4
"436",497.66,5443.324,20
"437",496.76,5442.874,80
"438",497.76,5443.874,52
"439",497.75,5442.876,13
"440",497.11,5442.824,37
"441",497.26,5442.874,19
"442",497.81,5443.724,40
"443",497.41,5442.974,21
"444",497.81,5443.774,43
"445",497.81,5443.824,44
"446",497.427,5442.98,22
"447",497.769,5443.148,10
"448",497.01,5442.824,46
"449",497.626,5443.258,16
"450",497.71,5443.424,24
"451",497.36,5442.924,21
"452",496.96,5442.824,49
"453",497.81,5443.674,34
"454",496.018,5443.241,11
"455",497.76,5442.874,13
"456",497.81,5443.874,44
"457",497.76,5443.574,33
"458",497.735,5442.868,11
"459",496.91,5442.824,55
"460",497.16,5442.824,28
"461",497.81,5443.624,28
"462",497.76,5443.524,27
"463",498.01,5443.074,3
"464",497.444,5442.969,19
"465",497.71,5443.374,18
"466",497.86,5443.774,28
"467",497.86,5443.824,33
"468",497.81,5443.174,6
"469",497.548,5442.932,12
"470",497.932,5443.188,2
"471",497.642,5443.246,12
"472",497.86,5443.874,35
"473",497.66,5443.274,14
"474",497.76,5443.474,22
"475",497.86,5443.724,26
"476",497.31,5442.874,17
"477",496.86,5442.824,61
"478",497.56,5442.874,11
"479",498.01,5443.024,5
"480",497.86,5443.674,23
"481",497.81,5443.574,24
"482",497.96,5443.174,2
"483",497.21,5442.824,14
"484",497.41,5442.924,17
"485",497.269,5442.844,13
"486",497.71,5443.324,13
"487",496.81,5442.824,62
"488",497.91,5443.824,23
"489",497.564,5442.919,11
"490",497.91,5443.774,22
"491",497.91,5443.874,24
"492",496.512,5443.966,1
"493",497.96,5442.974,5
"494",497.86,5443.624,20
"495",497.76,5443.424,16
"496",497.658,5443.234,8
"497",497.58,5442.907,12
"498",497.36,5442.874,14
"499",496.76,5442.824,65
"500",497.753,5443.16,8
"501",497.01,5442.774,37
"502",497.91,5443.724,19
"503",497.26,5442.824,9
"504",497.612,5442.883,13
"505",497.81,5443.524,16
"506",497.723,5442.855,10
"507",497.06,5442.774,29
"508",497.86,5442.924,9
"509",497.91,5443.674,15
"510",497.674,5443.221,9
"511",497.96,5443.824,19
"512",497.96,5443.874,17
"513",497.81,5443.474,14
"514",497.86,5443.574,16
"515",498.01,5443.124,2
"516",497.643,5442.858,11
"517",497.596,5442.895,13
"518",496.673,5444.035,2
"519",497.76,5443.374,11
"520",497.91,5443.624,12
"521",496.265,5442.758,23
"522",497.11,5442.774,20
"523",497.96,5443.774,17
"524",497.628,5442.871,11
"525",497.737,5443.173,8
"526",496.96,5442.774,32
"527",497.86,5443.524,13
"528",497.689,5443.209,10
"529",497.91,5443.574,13
"530",497.46,5442.924,14
"531",497.71,5443.274,9
"532",497.81,5442.874,10
"533",497.96,5443.724,12
"534",496.91,5442.774,37
"535",497.31,5442.824,7
"536",497.41,5442.874,15
"537",497.659,5442.846,11
"538",496.86,5442.774,44
"539",497.707,5442.843,8
"540",497.61,5442.874,12
"541",497.243,5444.121,13
"542",497.76,5443.174,8
"543",497.81,5443.424,11
"544",496.018,5442.758,11
"545",497.705,5443.197,10
"546",496.76,5442.774,44
"547",497.16,5442.774,12
"548",497.96,5443.674,10
"549",498.01,5443.874,12
"550",496.81,5442.774,46
"551",498.01,5443.824,13
"552",497.721,5443.185,9
"553",497.71,5443.224,8
"554",497.21,5442.774,8
"555",497.485,5444.121,17
"556",497.318,5442.812,7
"557",496.018,5443.483,2
"558",497.36,5442.824,8
"559",498.01,5443.774,10
"560",497.675,5442.834,10
"561",497.26,5442.774,5
"562",497.96,5443.624,9
"563",496.512,5442.758,42
"564",498.029,5443.094,2
"565",497.91,5443.524,8
"566",498.01,5443.724,8
"567",496.96,5442.724,28
"568",497.001,5444.121,3
"569",497.691,5442.831,10
"570",497.46,5442.874,15
"571",498.06,5443.874,7
"572",497.76,5443.324,10
"573",497.96,5443.574,6
"574",497.01,5442.724,23
"575",497.86,5443.474,7
"576",497.726,5444.121,18
"577",497.06,5442.724,19
"578",497.11,5442.724,12
"579",498.06,5443.824,7
"580",497.81,5443.374,7
"581",498.01,5443.674,8
"582",496.86,5442.724,28
"583",496.81,5442.724,32
"584",496.91,5442.724,22
"585",497.31,5442.774,5
"586",496.76,5442.724,33
"587",498.06,5443.774,7
"588",497.16,5442.724,8
"589",497.41,5442.824,12
"590",497.76,5443.274,5
"591",497.51,5442.874,13
"592",498.11,5443.874,6
"593",497.685,5442.826,9
"594",497.86,5443.424,8
"595",497.21,5442.724,3
"596",497.71,5442.824,9
"597",498.01,5443.624,5
"598",497.365,5442.785,6
"599",497.66,5442.824,11
"600",495.771,5442.999,0
"601",497.91,5443.474,5
"602",498.11,5443.824,6
"603",497.76,5443.224,6
"604",497.96,5443.524,5
"605",498.06,5443.674,7
"606",498.01,5442.974,5
"607",498.06,5443.724,7
"608",497.91,5442.924,6
"609",497.36,5442.774,6
"610",497.46,5442.824,13
"611",496.96,5442.674,17
"612",497.26,5442.724,3
"613",498.01,5443.574,4
"614",497.76,5442.824,10
"615",497.86,5442.874,9
"616",498.11,5443.774,7
"617",498.16,5443.874,4
"618",497.01,5442.674,15
"619",496.81,5442.674,24
"620",496.86,5442.674,18
"621",497.06,5442.674,10
"622",497.81,5443.324,4
"623",496.76,5444.121,0
"624",496.76,5442.674,28
"625",497.61,5442.824,10
"626",497.509,5442.837,11
"627",496.91,5442.674,15
"628",497.968,5444.121,4
"629",498.16,5443.824,5
"630",497.51,5442.824,11
"631",497.31,5442.724,2
"632",498.11,5443.724,5
"633",497.832,5443.325,4
"634",497.11,5442.674,5
"635",497.81,5443.224,5
"636",497.81,5443.274,3
"637",497.86,5443.374,5
"638",498.21,5443.874,4
"639",497.41,5442.774,7
"640",497.86,5443.224,3
"641",497.16,5442.674,5
"642",497.21,5442.674,2
"643",496.018,5443.724,0
"644",497.91,5443.224,1
"645",495.771,5442.758,1
"646",498.06,5443.624,4
"647",496.76,5442.624,18
"648",497.36,5442.724,1
"649",497.91,5443.424,3
"650",498.16,5443.774,5
"651",498.11,5443.674,5
"652",498.21,5444.121,2
"653",496.86,5442.624,12
"654",497.46,5442.774,7
"655",496.81,5442.624,13
"656",496.96,5442.624,11
